Año_numSemana;Customers
2017-50;1
2018-10;2
2018-11;4
2018-12;4
2018-13;4
2018-14;2
2018-15;2
2018-16;1
2018-17;8
2018-18;1
2018-19;1
2018-20;12
2018-21;2
2018-22;5
2018-23;4
2018-25;3
2018-26;3
2018-27;3
2018-28;2
2018-29;3
2018-30;2
2018-31;4
2018-32;4
2018-33;4
2018-34;1
2018-35;5
2018-36;2
2018-37;6
2018-38;8
2018-39;8
2018-40;3
2018-41;4
2018-42;7
2018-43;3
2018-44;5
2018-45;1
2018-46;3
2018-47;10
2018-48;8
2018-49;2
2018-50;7
2018-51;4
2018-52;7
2018-53;2
2018-7;4
2018-8;3
2018-9;1
2019-1;4
2019-10;10
2019-11;11
2019-12;16
2019-13;11
2019-14;19
2019-15;10
2019-16;16
2019-17;17
2019-18;11
2019-19;14
2019-2;4
2019-20;26
2019-21;20
2019-22;18
2019-23;15
2019-24;20
2019-25;15
2019-26;11
2019-27;12
2019-28;23
2019-29;17
2019-3;2
2019-30;15
2019-31;16
2019-32;12
2019-33;28
2019-34;38
2019-35;21
2019-36;39
2019-37;48
2019-38;32
2019-39;44
2019-4;4
2019-40;24
2019-41;47
2019-42;10
2019-5;9
2019-6;9
2019-7;6
2019-8;6
2019-9;10
Grand Total;925
